tconst	averageRating	numVotes
tt0000883	5.8	15
tt0000884	3.5	14
tt0000886	4.4	45
tt0000887	5.0	62
tt0000890	7.3	34
tt0000891	5.7	102
tt0000892	5.5	118
tt0000893	6.5	49
tt0000895	5.4	236
tt0000897	5.4	90
tt0000898	5.8	29
tt0000901	5.2	26
tt0000902	5.2	19
tt0000904	5.3	134
tt0000905	5.5	27
tt0000908	6.5	33
tt0000910	5.2	29
tt0000911	2.9	28
tt0000912	4.3	79
tt0000916	6.0	76
tt0000921	5.6	28
tt0000922	4.9	133
tt0000924	6.0	229
tt0000928	5.4	115
tt0000929	5.4	51
tt0000930	4.6	15
tt0000932	3.2	12
tt0000933	5.2	127
tt0000934	4.1	24
tt0000935	5.8	129
tt0000936	6.2	143
tt0000938	4.5	214
tt0000939	5.4	22
tt0000941	4.4	36
tt0000942	6.2	1234
tt0000944	3.8	13
tt0000945	4.9	102
tt0000946	4.7	97
tt0000950	4.6	19
tt0000956	6.4	19
tt0000957	6.2	54
tt0000958	6.0	20
tt0000959	3.6	15
tt0000960	4.6	331
tt0000961	8.7	24
tt0000964	5.2	19
tt0000966	5.6	411
tt0000969	6.6	28
tt0000970	5.7	94
tt0000971	6.2	202
tt0000972	5.7	147
tt0000974	5.2	76
tt0000975	5.2	27
tt0000976	4.3	21
tt0000979	4.9	44
tt0000981	5.7	83
tt0000986	5.1	136
tt0000987	7.8	12
tt0000988	4.9	30
tt0000989	4.9	71
tt0000990	5.7	112
tt0000992	4.4	17
tt0000995	7.5	20
tt0000997	7.2	18
tt0000998	5.9	23
tt0001000	5.5	74
tt0001001	5.1	161
tt0001002	4.8	116
tt0001005	5.3	32
tt0001007	4.0	15
tt0001008	5.2	38
tt0001009	6.4	1109
tt0001010	3.9	19
tt0001013	5.8	449
tt0001014	4.8	141
tt0001015	5.1	33
tt0001016	5.1	180
tt0001025	8.6	19
tt0001027	6.2	19
tt0001028	3.8	25
tt0001029	5.1	69
tt0001032	6.0	1042
tt0001033	5.1	27
tt0001035	5.2	48
tt0001036	2.6	15
tt0001037	3.4	20
tt0001038	2.9	25
tt0001041	5.2	63
tt0001044	5.1	136
tt0001045	5.6	17
tt0001049	4.5	23
tt0001050	4.8	99
tt0001051	3.8	15
tt0001054	5.6	47
tt0001058	5.6	32
tt0001061	6.5	100
tt0001062	6.2	1364
tt0001063	6.0	18
tt0001064	4.9	56
tt0001066	5.2	27
tt0001067	5.6	82
tt0001069	3.6	13
tt0001071	7.0	16
tt0001072	5.6	449
tt0001074	6.5	23
tt0001076	5.9	26
tt0001078	5.2	78
tt0001081	3.6	13
tt0001083	4.9	172
tt0001084	5.2	201
tt0001085	5.6	18
tt0001086	6.6	18
tt0001088	4.9	90
tt0001089	8.4	41
tt0001090	7.6	17
tt0001091	5.3	241
tt0001092	5.8	73
tt0001098	6.6	20
tt0001101	4.5	42
tt0001103	5.5	69
tt0001104	4.8	61
tt0001105	6.4	1109
tt0001106	5.9	218
tt0001107	6.0	126
tt0001111	4.5	21
tt0001112	3.8	61
tt0001113	4.5	21
tt0001115	3.8	24
tt0001116	3.9	21
tt0001117	6.2	21
tt0001118	5.4	233
tt0001120	5.5	278
tt0001121	4.7	58
tt0001122	4.4	22
tt0001129	4.7	73
tt0001135	4.6	61
tt0001139	5.5	48
tt0001143	5.0	67
tt0001144	4.7	54
tt0001145	5.8	12
tt0001150	5.1	149
tt0001151	4.3	61
tt0001152	5.7	98
tt0001153	4.0	58
tt0001156	4.4	57
tt0001159	5.2	32
tt0001161	4.6	59
tt0001165	5.0	41
tt0001175	5.4	50
tt0001176	4.7	41
tt0001184	3.2	27
tt0001185	7.0	24
tt0001186	5.1	75
tt0001187	4.9	42
tt0001190	6.6	15
tt0001195	5.2	23
tt0001196	4.5	15
tt0001200	4.9	48
tt0001202	5.2	41
tt0001206	6.6	46
tt0001207	5.4	161
tt0001211	5.3	57
tt0001214	6.6	10
tt0001216	5.1	41
tt0001217	5.6	133
tt0001218	5.2	150
tt0001223	6.4	5218
tt0001227	5.8	301
tt0001230	4.6	33
tt0001233	7.6	23
tt0001234	5.8	45
tt0001235	5.2	73
tt0001236	5.4	44
tt0001237	4.7	88
tt0001240	3.7	26
tt0001241	4.6	22
tt0001242	5.1	21
tt0001245	5.6	93
tt0001256	5.8	637
tt0001258	5.7	192
tt0001262	4.9	40
tt0001264	7.0	84
tt0001265	6.3	604
tt0001277	4.1	29
tt0001280	5.0	45
tt0001282	6.4	39
tt0001283	5.9	30
tt0001284	4.9	60
tt0001285	5.2	73
tt0001292	5.1	79
tt0001294	7.2	17
tt0001299	4.6	16
tt0001303	6.8	19
tt0001306	4.8	13
tt0001307	6.4	18
tt0001310	5.4	40
tt0001313	5.7	22
tt0001314	5.8	175
tt0001315	6.0	28
tt0001321	5.3	77
tt0001326	5.6	77
tt0001330	5.5	48
tt0001332	5.7	47
tt0001333	5.7	76
tt0001334	5.7	25
tt0001336	6.3	24
tt0001337	5.6	72
tt0001338	4.7	20
tt0001340	5.2	119
tt0001348	4.0	13
tt0001351	6.0	87
tt0001353	5.0	15
tt0001358	4.3	33
tt0001364	5.4	14
tt0001370	4.7	27
tt0001371	5.9	484
tt0001377	5.2	33
tt0001378	6.0	252
tt0001380	3.6	13
tt0001381	5.6	51
tt0001385	5.4	100
tt0001386	4.3	21
tt0001387	5.6	38
tt0001388	5.6	114
tt0001396	3.3	20
tt0001400	6.5	24
tt0001401	5.9	46
tt0001407	6.5	25
tt0001410	5.3	26
tt0001414	5.3	91
tt0001423	4.4	17
tt0001428	5.3	73
tt0001431	6.4	982
tt0001432	5.6	55
tt0001435	6.0	17
tt0001439	5.8	305
tt0001440	3.9	30
tt0001444	3.2	38
tt0001446	6.0	19
tt0001452	5.4	263
tt0001454	5.6	52
tt0001456	8.4	21
tt0001458	5.8	276
tt0001459	5.3	74
tt0001460	3.2	19
tt0001461	5.9	49
tt0001463	5.7	1788
tt0001469	5.9	173
tt0001475	7.6	26
tt0001481	5.3	57
tt0001482	5.0	78
tt0001487	6.1	10
tt0001488	6.3	617
tt0001490	4.8	33
tt0001496	4.1	77
tt0001497	7.2	15
tt0001498	7.9	20
tt0001499	5.6	404
tt0001500	5.0	9
tt0001504	4.2	13
tt0001508	5.2	52
tt0001510	5.5	73
tt0001517	5.9	45
tt0001518	5.5	32
tt0001519	5.0	46
tt0001521	5.5	14
tt0001527	7.7	3463
tt0001529	4.1	30
tt0001530	5.9	22
tt0001531	4.6	18
tt0001532	5.1	18
tt0001542	4.4	35
tt0001544	6.1	935
tt0001545	6.1	170
tt0001550	5.5	61
tt0001551	5.2	105
tt0001552	5.2	42
tt0001557	4.9	128
tt0001560	4.6	30
tt0001563	5.8	57
tt0001564	4.6	31
tt0001571	5.0	30
tt0001577	5.2	37
tt0001582	4.9	34
tt0001583	5.5	20
tt0001584	4.9	35
tt0001585	7.7	17
tt0001586	3.7	21
tt0001587	4.3	32
tt0001588	5.4	236
tt0001590	5.2	13
tt0001592	5.9	36
tt0001593	6.2	440
tt0001594	6.3	399
tt0001598	5.7	57
tt0001602	3.8	9
tt0001607	5.4	93
tt0001613	5.3	185
tt0001614	6.6	49
tt0001615	5.1	45
tt0001618	6.1	29
tt0001624	5.1	53
tt0001630	6.2	55
tt0001632	6.4	48
tt0001642	5.1	46
tt0001648	4.2	9
tt0001654	5.3	53
tt0001655	4.4	20
tt0001658	6.2	19
tt0001659	7.3	20
tt0001660	5.6	237
tt0001668	4.2	38
tt0001671	5.2	45
tt0001680	5.0	685
tt0001681	4.7	338
tt0001692	5.5	26
tt0001693	6.9	26
tt0001695	4.7	72
tt0001701	4.6	96
tt0001706	4.3	20
tt0001709	5.2	55
tt0001712	4.6	9
tt0001715	4.3	11
tt0001717	3.3	26
tt0001724	5.7	321
tt0001728	6.1	19
tt0001732	5.9	37
tt0001733	5.2	29
tt0001737	7.1	1966
tt0001738	6.3	68
tt0001740	6.5	1440
tt0001741	4.5	28
tt0001742	5.4	16
tt0001747	5.3	33
tt0001753	5.2	22
tt0001762	4.7	89
tt0001769	5.4	105
tt0001771	5.5	186
tt0001772	5.6	25
tt0001776	6.4	276
tt0001777	5.9	25
tt0001779	7.0	19
tt0001787	8.0	17
tt0001789	6.2	327
tt0001790	5.9	64
tt0001791	6.0	16
tt0001799	4.8	20
tt0001803	3.0	15
tt0001812	5.5	17
tt0001815	6.6	36
tt0001817	5.1	95
tt0001832	5.8	79
tt0001840	4.8	48
tt0001845	5.1	13
tt0001848	4.7	51
tt0001852	4.1	13
tt0001856	4.7	62
tt0001857	5.6	247
tt0001862	5.4	55
tt0001865	5.7	101
tt0001868	5.3	14
tt0001871	4.9	68
tt0001872	7.4	60
tt0001874	7.2	16
tt0001877	5.2	85
tt0001885	6.6	21
tt0001886	4.5	15
tt0001889	4.0	17
tt0001892	5.9	291
tt0001893	5.8	14
tt0001896	5.1	94
tt0001910	5.2	86
tt0001911	3.6	27
tt0001913	5.4	262
tt0001915	5.3	167
tt0001921	6.2	24
tt0001923	6.9	41
tt0001925	5.0	61
tt0001926	4.6	20
tt0001928	4.6	60
tt0001941	5.1	112
tt0001949	5.2	34
tt0001956	6.2	19
tt0001957	5.1	66
tt0001963	5.6	188
tt0001964	5.8	120
tt0001967	6.2	15
tt0001973	6.0	321
tt0001978	5.9	76
tt0001987	6.5	27
tt0001993	4.1	22
tt0001998	4.6	49
tt0002004	5.4	22
tt0002020	4.7	178
